District,Neighbourhood,Longitude,Latitude
Old Toronto,Alexandra Park,-79.4,43.65
Old Toronto,Allenby,-79.4151072,43.7096995
Old Toronto,The Annex,-79.404,43.67
Old Toronto,The Beaches,-79.28333333333333,43.666666666666664
Old Toronto,Bedford Park,-79.411,43.73
Old Toronto,Bickford Park,-79.41666666666667,43.65
Old Toronto,Bloor West Village,-79.46666666666667,43.65
Old Toronto,Bloor Street Culture Corridor,-79.3986,43.6678
Old Toronto,Bloordale Village,-79.439,43.659
Old Toronto,Bracondale Hill,-79.4244,43.6762
Old Toronto,Brockton Village,-79.43333333333334,43.65
Old Toronto,Cabbagetown,-79.3629,43.6664
Old Toronto,Carleton Village,-79.457,43.672
Old Toronto,Casa Loma,-79.41,43.67
Old Toronto,Chaplin Estates,-79.4,43.7
Old Toronto,Chinatown,-79.398,43.6529
Old Toronto,First Chinatown,-79.385,43.654
Old Toronto,Christie Pits,-79.41666666666667,43.65
Old Toronto,Church and Wellesley,-79.36666666666666,43.65
Old Toronto,CityPlace,-79.395179,43.640044
Old Toronto,Corktown,-79.35,43.65
Old Toronto,Corso Italia,-79.445,43.677
Old Toronto,Corso Italia-Davenport,-79.447,43.677
Old Toronto,Davenport,-79.428,43.673
Old Toronto,Davisville Village,-79.389,43.701
Old Toronto,Deer Park,-79.38333333333334,43.68333333333333
Old Toronto,Discovery District,-79.388,43.658
Old Toronto,Distillery District,-79.3595401,43.6502947
Old Toronto,Downtown Yonge,-79.36666666666666,43.65
Old Toronto,Dovercourt Park,-79.432,43.665
Old Toronto,Dufferin Grove,-79.428,43.657
Old Toronto,Earlscourt,-79.449,43.678
Old Toronto,East Bayfront,-79.36459,43.64499
Old Toronto,East Chinatown,-79.347295,43.666614
Old Toronto,East Danforth,-79.3,43.68333333333333
Old Toronto,East Toronto,-79.2944,43.6808
Old Toronto,Entertainment District,-79.389723,43.6465862
Old Toronto,Fashion District,-79.398,43.645
Old Toronto,Financial District,-79.36666666666666,43.63333333333333
Old Toronto,Forest Hill,-79.41666666666667,43.7
Old Toronto,Garden District,-79.3758,43.6585
Old Toronto,Gerrard India Bazaar,-79.32441,43.67153
Old Toronto,Grange Park,-79.393,43.653
Old Toronto,Greektown,-79.33333333333333,43.666666666666664
Old Toronto,Harbord Village,-79.406,43.661
Old Toronto,Harbourfront,-79.385,43.638
Old Toronto,High Park North,-79.475,43.656
Old Toronto,The Junction,-79.45,43.65
Old Toronto,Junction Triangle,-79.446,43.659
Old Toronto,Kensington Market,-79.4,43.65
Old Toronto,Koreatown,-79.413005,43.664516
Old Toronto,Lawrence Park,-79.388,43.722
Old Toronto,Leslieville,-79.332039,43.661927
Old Toronto,Liberty Village,-79.422,43.637
Old Toronto,Little Italy,-79.413,43.655
Old Toronto,Little Portugal,-79.43333333333334,43.65
Old Toronto,Little Tibet,-79.4273119,43.6389445
Old Toronto,Lytton Park,-79.407833,43.717829
Old Toronto,Midtown,-79.3991,43.7077
Old Toronto,Moore Park,-79.377,43.691
Old Toronto,Moss Park,-79.367316,43.655709
Old Toronto,Niagara,-79.408,43.643
Old Toronto,North Toronto,-79.389,43.711
Old Toronto,Norway,-79.3,43.666666666666664
Old Toronto,Old Town,-79.367912,43.651352
Old Toronto,Palmerston,-79.41666666666667,43.65
Old Toronto,Parkdale,-79.436731,43.640454
Old Toronto,Playter Estates,-79.35,43.666666666666664
Old Toronto,Port Lands,-79.33333333333333,43.63333333333333
Old Toronto,Quayside,-79.36179,43.646861
Old Toronto,Queen Street West,-79.39241,43.649584
Old Toronto,Railway Lands,-79.38077,43.644662
Old Toronto,Regent Park,-79.35,43.65
Old Toronto,Riverdale,-79.33333333333333,43.666666666666664
Old Toronto,Roncesvalles,-79.449048,43.646231
Old Toronto,Rosedale,-79.378,43.679
Old Toronto,Runnymede,-79.484,43.6595
Old Toronto,St. James Town,-79.36666666666666,43.666666666666664
Old Toronto,St. Lawrence,-79.372,43.649
Old Toronto,Seaton Village,-79.416,43.668
Old Toronto,South Hill,-79.4,43.666666666666664
Old Toronto,South Core,-79.36666666666666,43.63333333333333
Old Toronto,Summerhill,-79.39,43.683
Old Toronto,Swansea,-79.46666666666667,43.63333333333333
Old Toronto,Toronto Islands,-79.36666666666666,43.61666666666667
Old Toronto,Trefann Court,-79.36201,43.656548
Old Toronto,Trinity-Bellwoods,-79.40833333333333,43.64666666666667
Old Toronto,Upper Beaches,-79.3,43.666666666666664
Old Toronto,Uptown Toronto,-79.4028,43.7264
Old Toronto,Wallace Emerson,-79.441,43.663
Old Toronto,The Ward,-79.384,43.656
Old Toronto,West Don Lands,-79.353,43.655
Old Toronto,Wychwood Park,-79.41933,43.67806
Old Toronto,Yonge-Eglinton,-79.398271,43.706802
Old Toronto,Yorkville,-79.38333333333334,43.666666666666664
North York,Amesbury,-79.48333333333333,43.7
North York,Armour Heights,-79.429,43.743
North York,Bathurst Manor,-79.45,43.75
North York,Bayview Village,-79.379,43.777
